	Variable de la estacion MagyaCba La Cumbrecita 
 
Temp	Hume	Pto.Ro	Precipt	Vel.Vie	Raf.Vie	  Pres	Rad.Sol	Temp_S1	Temp_S2	Temp_S3	Hum_S1	Hum_S2	Hum_S3	Hum_Hoja
17.20 	 71.70 	 12.00	 0.00	 0.00	 0.00	 858.80	 0.00	 21.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.10 	 73.20 	 12.30	 0.00	 0.00	 0.00	 858.80	 0.00	 21.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.10 	 74.20 	 12.50	 0.00	 0.00	 0.00	 859.40	 0.00	 21.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.50 	 77.00 	 12.50	 0.00	 6.90	 6.90	 859.40	 0.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.90 	 79.40 	 12.30	 0.00	 6.70	 16.00	 860.60	 0.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.80 	 79.80 	 12.30	 0.00	 1.20	 6.60	 861.20	 0.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.80 	 80.00 	 12.40	 0.00	 0.00	 0.00	 858.80	 0.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.90 	 80.20 	 12.50	 0.00	 1.00	 2.30	 860.60	 50.20	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.00 	 80.60 	 12.70	 0.00	 0.00	 0.00	 858.10	 81.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.10 	 81.10 	 12.90	 0.00	 0.00	 0.00	 859.40	 106.10	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.40 	 80.10 	 13.00	 0.00	 0.00	 0.00	 860.00	 123.50	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.70 	 79.10 	 13.10	 0.00	 0.00	 0.00	 858.80	 142.70	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.10 	 78.20 	 13.30	 0.00	 0.00	 0.00	 858.80	 164.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.70 	 74.60 	 13.10	 0.00	 0.00	 0.00	 860.60	 173.60	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.10 	 72.40 	 13.10	 0.00	 0.30	 2.70	 858.10	 138.90	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.30 	 70.30 	 12.80	 0.00	 0.00	 0.00	 860.00	 129.20	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.40 	 70.60 	 13.00	 0.00	 0.00	 0.00	 860.00	 117.70	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.50 	 67.50 	 12.40	 0.00	 0.00	 0.00	 861.20	 152.40	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.90 	 67.40 	 12.70	 0.00	 1.40	 5.00	 860.00	 279.70	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
19.70 	 64.00 	 12.70	 0.00	 2.70	 5.90	 860.00	 474.50	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
